Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
56,California State University-Chico,Chico. CA,1080,22,25.5,15.1,0.62,16.75,55.1
57,James Madison University,Harrisonburg. VA,1180,26,27.3,17.2,0.34,20.5,55.8
58,Union College,Schenectady. NY, NA,NA,71.7,39.6,0.77,25.83,60.9
59,Michigan State University,East Lansing. MI,1210,26,29.7,17.8,0.52,25.2,53.9
60,Pomona College,Claremont. CA,1450,32,72.8,18.8,0.6,13.4,60.5
61,Georgetown University,Washington. DC,1440,32,74.8,29.3,0.4,15.49,63.7
62,Northwestern University,Evanston. IL,1490,33,76.2,27.9,0.54,17.5,61.5
63,California State University-Monterey Bay,Seaside. CA,1070,21,24.4,12,0.69,13.75,48.7
64,George Mason University,Fairfax. VA,1200,27,30.5,19.9,0.49,19.5,57.2
64,Amherst College,Amherst. MA,1480,33,74.5,20.8,0.59,13,62.3
66,Cooper Union for the Advancement of Science and Art,New York. NY,1420,31,67.9,30.4,1,14.75,65.9
67,Lafayette College,Easton. PA,1350,30,71.7,27.9,0.51,24.79,64.2
68,California State University-Stanislaus,Turlock. CA, NA,NA,21.5,7.2,0.82,14.22,48
69,University of Delaware,Newark. DE,1230,27,29,17.4,0.63,24.25,56.7
70,California State University-San Bernardino,San Bernardino. CA,1000,19,25.3,9.3,0.81,15,47.9
71,SUNY College of Environmental Science and Forestry,Syracuse. NY,1230,26,28.5,19.4,0.76,19.2,51.8
72,Brown University,Providence. RI,1490,33,74.2,27.4,0.46,16.13,65.4
73,University of Illinois at Chicago,Chicago. IL,1210,23,32,12.7,0.65,18.11,55
74,San Diego State University,San Diego. CA,1190,26,29.5,14.3,0.52,15,53.4
75,California Polytechnic State University-San Luis Obispo,San Luis Obispo. CA,1290,29,28.4,20.3,0.52,18.63,63.5
75,Montclair State University,Montclair. NJ,1070,NA,31.7,16.3,0.48,23,49.1
77,University of Chicago,Chicago. IL,1530,34,79.1,37.2,0.63,15.9,61.6
78,Clemson University,Clemson. SC,1310,29,30.9,20,0.73,21.5,56.3
79,Boston College,Chestnut Hill. MA,1410,32,73.7,29.1,0.45,19,61.6
80,National Louis University,Chicago. IL, NA,NA,33.1,16.4,0.78,19.5,47.3
81,Columbia University in the City of New York,New York. NY,1490,33,77.5,24.4,0.58,21.41,69.2
82,Bowdoin College,Brunswick. ME, NA,NA,71.1,26.1,0.5,18.65,59.7
82,Washington University in St Louis,Saint Louis. MO,1520,33,75.2,29.7,0.48,19.5,62.7
84,University of Minnesota-Twin Cities,Minneapolis. MN,1380,29,28.7,17.9,0.61,20,55.8
85,SUNY at Albany,Albany. NY,1170,24,26.8,17.2,0.61,20.5,51.5
86,St. Joseph's College-New York,Brooklyn. NY,960,20,40.8,17.2,0.86,20.01,45.7
87,Davidson College,Davidson. NC,1390,32,69.6,30.3,0.72,18.22,55
88,Bentley University,Waltham. MA,1300,29,69.1,39.1,0.65,26,64.6
89,Wellesley College,Wellesley. MA,1450,32,72.1,21.6,0.59,10,56.6
90,Tufts University,Medford. MA,1480,33,73.7,31.4,0.41,17.5,63.2
91,Cornell University,Ithaca. NY,1470,33,73.4,33.6,0.53,12.74,68.2
92,Citadel Military College of South Carolina,Charleston. SC,1120,23,30,18.2,0.63,22.49,58.8
93,California State University-Channel Islands,Camarillo. CA, NA,NA,29.9,15.8,0.69,15,49.3
94,Barnard College,New York. NY,1410,32,74.5,25.3,0.46,18,56.8
95,Dartmouth College,Hanover. NH,1500,32,75,23.8,0.54,14.82,68.9
96,California State University-Dominguez Hills,Carson. CA, NA,NA,23.4,5.3,0.79,13.74,47.4
97,Indiana University-Bloomington,Bloomington. IN,1250,28,25.5,13.3,0.61,21.5,52.2
98,Wake Forest University,Winston-Salem. NC, NA,NA,72.2,25.6,0.48,23.81,58.2
99,University at Buffalo,Buffalo. NY,1170,26,27.3,17.2,0.55,19.5,52.6
100,CUNY Queens College,Queens. NY,1140,NA,29.6,5.1,0.51,10.7,50.9
101,Claremont McKenna College,Claremont. CA,1430,32,74.9,30.6,0.46,14.5,66.8
102,Florida State University,Tallahassee. FL,1260,28,22.7,17.6,0.88,20.25,49
103,University of California-Santa Cruz,Santa Cruz. CA,1250,29,37.6,17.9,0.69,19.7,56.1
104,San Jose State University,San Jose. CA,1110,23,29.4,14.8,0.61,15,61.3
104,Ramapo College of New Jersey,Mahwah. NJ,1140,24,32.2,17.7,0.42,22.5,50.1
106,St Lawrence University,Canton. NY,1290,28,71.3,36.5,0.96,26.79,53.8
107,Towson University,Towson. MD,1130,23,27.5,16.3,0.49,17.75,49.8
108,Iowa State University,Ames. IA,1290,25,21.5,14.9,0.69,23.26,54.9
109,University of Massachusetts-Amherst,Amherst. MA,1270,29,31.4,22.7,0.71,23.45,55.8
110,CUNY Lehman College,Bronx. NY,1040,NA,28.3,3.1,0.59,9.99,46.6
111,Lehigh University,Bethlehem. PA,1350,31,68.9,28.7,0.5,23.58,67.2
112,California State University Maritime Academy,Vallejo. CA, NA,NA,29.3,15.6,0.52,26,67.5
113,University of Richmond,Richmond. VA,1370,31,67.8,26.2,0.63,21.06,57.9
114,Juniata College,Huntingdon. PA, NA,NA,60.8,27.9,1,27,50.1
115,CUNY City College,New York. NY,1140,NA,30.6,4.4,0.64,11.58,53
116,College of Saint Benedict,Saint Joseph. MN,1120,25,59.4,28.7,1,27,47.9
117,University of Iowa,Iowa City. IA,1260,26,23.6,15.8,0.63,21.5,52.5
117,University of New Hampshire,Durham. NH,1170,26,34.5,24.4,0.61,27,52.6
119,University of Georgia,Athens. GA,1290,29,27.6,17,0.85,18.75,52.6
120,Carnegie Mellon University,Pittsburgh. PA,1500,34,73.2,31.8,0.52,26.46,73.6
121,Colorado School of Mines,Golden. CO,1380,30,35.1,27.2,0.72,25,74.1
122,Siena College,Loudonville. NY, NA,NA,56.3,29.8,0.92,26.9,52.1
123,Rockhurst University,Kansas City. MO,1140,25,53.9,24.9,0.7,21.5,54.6
124,Colby College,Waterville. ME,1420,32,71.6,21.7,0.46,19.17,57.8
125,Johns Hopkins University,Baltimore. MD,1510,34,73,31,0.51,13.5,65.5
126,Haverford College,Haverford. PA,1460,33,74.8,25.2,0.49,13,56.1
127,Emory University,Atlanta. GA,1440,32,69.9,28.7,0.55,19.25,59.9
128,CUNY Hunter College,New York. NY,1210,NA,23,5.6,0.58,11.6,50.9
129,Illinois State University,Normal. IL, NA,24,30.2,20.5,0.53,21.25,49.7
129,Simmons College,Boston. MA,1220,27,60.8,31.7,0.93,25,52.8
131,University of Southern California,Los Angeles. CA,1400,32,75.4,35.1,0.59,22.12,62
132,Lake Forest College,Lake Forest. IL, NA,NA,61.3,27.4,0.96,27,53.7
133,St Olaf College,Northfield. MN,1280,28,60.9,29.4,0.9,27,51.9
134,Vassar College,Poughkeepsie. NY,1420,32,73.5,25.4,0.68,16.25,54.2
135,Northeastern University,Boston. MA,1450,33,71.2,32.9,0.63,27,61.2
136,Florida International University,Miami. FL,1160,25,24.7,13,0.67,17.25,48.1
136,Harvey Mudd College,Claremont. CA,1520,34,77.7,40.7,0.71,23.5,85.6
138,Washington State University,Pullman. WA,1120,23,28.5,19.1,0.65,20.35,54.6
139,Fairfield University,Fairfield. CT, NA,NA,67.2,40.3,0.81,27,59.6
140,Wesleyan University,Middletown. CT, NA,NA,73,25.9,0.43,16.88,59.3
141,SUNY Cortland,Cortland. NY,1130,24,26,19.2,0.61,21.5,44.9
142,Mount Saint Mary's University. Los Angeles,Los Angeles. CA,1020,19,62,30.9,0.82,26,52.8
143,New Jersey Institute of Technology,Newark. NJ,1280,27,38.1,19.2,0.59,23.26,62.8
144,San Francisco State University,San Francisco. CA,1050,21,27.9,14.5,0.59,16.71,55.2
144,Santa Clara University,Santa Clara. CA,1360,30,72.5,41.5,0.68,21,66.8
146,Saint Anselm College,Manchester. NH,1220,26,59.4,33.6,0.96,27,54.9
147,Brigham Young University-Provo,Provo. UT,1310,30,19.2,13.9,0.74,10.8,57.4
148,Worcester Polytechnic Institute,Worcester. MA, NA,NA,67.9,45.9,0.92,27,71.7
149,Saint Mary's College,Notre Dame. IN,1140,26,57.7,28.5,0.96,27,49.1
150,California State University-Sacramento,Sacramento. CA,1040,20,26.9,10.5,0.72,15.25,53
151,Babson College,Wellesley. MA,1320,30,71.5,31.9,0.47,26,69.3
152,Ohio State University,Columbus. OH,1360,29,28.2,19.3,0.67,21.5,54
153,Brandeis University,Waltham. MA,1380,31,74.1,34.9,0.59,27,58
154,Trinity University,San Antonio. TX,1320,30,59.4,30.5,0.96,26,53.4
155,Manhattan College,Riverdale. NY,1150,26,62.9,38.3,0.85,26,62.6
155,Molloy College,Rockville Centre. NY,1140,24,52.6,28.8,0.77,27,58.9
157,Hobart William Smith Colleges,Geneva. NY,1240,28,72.9,45.1,0.89,27,53.6
158,Saint Johns University,Collegeville. MN,1080,25,58.4,28,1,27,57.4
159,State University of New York at New Paltz,New Paltz. NY,1180,26,25.3,15.5,0.53,18.75,46.6
160,Michigan Technological University,Houghton. MI,1250,28,30.4,18.3,0.88,26.93,64.6
160,St. Thomas Aquinas College,Sparkill. NY,1000,20,49.7,21.9,0.69,23,48.4
162,Denison University,Granville. OH,1290,30,67.9,34.5,0.99,27,52.4
163,Trinity College,Hartford. CT,1340,30,74.6,30.5,0.51,21.5,57.6
164,Maine Maritime Academy,Castine. ME,1090,21,28.5,22.4,0.69,27,66.7
165,Clarkson University,Potsdam. NY,1240,27,69,33.1,0.97,27,65.1
166,Franklin & Marshall College,Lancaster. PA, NA,NA,73.6,26.1,0.55,22,54.6
167,Skidmore College,Saratoga Springs. NY,1300,29,72.5,27,0.45,19.5,52.7
167,Gustavus Adolphus College,Saint Peter. MN, NA,NA,58.3,31.9,0.97,27,49.7
169,St Mary's College of Maryland,St. Mary's City. MD,1180,25,31,22.1,0.74,20.5,52.3
170,University of Arizona,Tucson. AZ, NA,NA,29.5,16.8,0.68,19,55
170,Wabash College,Crawfordsville. IN,1180,26,57,26.3,0.99,25.79,60.2
172,University of Vermont,Burlington. VT,1270,28,34.8,21.2,0.79,22.5,51.6
173,McDaniel College,Westminster. MD,1150,25,58.3,24.2,0.96,27,49.5
174,Connecticut College,New London. CT, NA,NA,72.5,29.2,0.54,23.2,55.7
175,Berea College,Berea. KY,1090,25,37,1.8,0.98,5.3,39.6
175,Missouri University of Science and Technology,Rolla. MO,1220,28,23,15.1,0.8,24.25,66.7
177,Hamilton College,Clinton. NY,1440,32,70.7,23.6,0.53,17,61
178,Le Moyne College,Syracuse. NY,1160,25,52.2,25.8,0.9,24.37,49
179,West Chester University of Pennsylvania,West Chester. PA,1130,24,28,20.7,0.44,23.29,48.5
179,Villanova University,Villanova. PA,1350,32,71.3,37.9,0.51,26.69,63.6
181,California State University-East Bay,Hayward. CA, NA,NA,26.2,12.2,0.64,15.09,55.6
182,SUNY Maritime College,Throggs Neck. NY,1180,24,26.4,17.4,0.53,24,73.3
183,Lawrence University,Appleton. WI,1340,29,61.1,30.1,0.97,27,48.5
184,Marquette University,Milwaukee. WI,1220,27,57.7,34.6,0.96,27,56.4
185,Bucknell University,Lewisburg. PA,1340,30,73.2,40.4,0.53,27,64.8
186,Middlebury College,Middlebury. VT,1420,32,72.6,24.4,0.43,13.63,58.4
187,Westfield State University,Westfield. MA,1060,23,25.1,17,0.55,22.75,46
188,SUNY College at Brockport,Brockport. NY,1090,23,25.2,16,0.65,19.98,45.3
189,Marist College,Poughkeepsie. NY, NA,NA,57.3,39,0.77,25.85,54
190,Salisbury University,Salisbury. MD, NA,NA,26.2,19.6,0.61,20.27,49.3
191,University of South Florida,Tampa. FL,1230,27,22.4,12.6,0.65,18.75,48.5
192,Wheaton College - Illinois,Wheaton. IL,1320,30,49.8,32,0.8,22.44,51.5
193,The University of Texas Rio Grande Valley,Edinburg. TX,1040,20,20.9,4.4,0.74,10.05,44.9
194,University of Rochester,Rochester. NY,1400,31,73.2,39.6,0.8,23.28,58.9
195,Farmingdale State College,Farmingdale. NY,1060,21,25.2,8.9,0.46,15.89,51.2
195,University of Wisconsin-La Crosse,La Crosse. WI, NA,24,18.2,13.9,0.46,23,48.4
197,Gettysburg College,Gettysburg. PA, NA,NA,69.7,37,0.82,23,55.9
197,Fairleigh Dickinson University-Metropolitan Campus,Teaneck. NJ,1100,23,59.1,17.9,0.45,25,49.7
199,Fitchburg State University,Fitchburg. MA,1060,21,25,15.6,0.59,23.25,46.6
200,Concordia University-Saint Paul,Saint Paul. MN, NA,NA,36,21,0.66,21.2,48.6
201,Yeshiva University,New York. NY,1290,26,63.2,34,0.87,20.5,61.7
202,University of Evansville,Evansville. IN,1140,26,53.1,22.5,0.85,26.95,49.7
203,Allegheny College,Meadville. PA,1230,26,63.8,27.1,0.99,29,48.7
204,Iona College,New Rochelle. NY,1080,23,58.3,28.8,0.9,26,53.8
205,Grinnell College,Grinnell. IA,1410,32,69.2,31.5,0.88,15.6,51.2
206,New York University,New York. NY,1390,31,75,38.7,0.53,22.9,60.8
206,Smith College,Northampton. MA, NA,NA,72.7,28.5,0.68,19,51.1
208,Syracuse University,Syracuse. NY,1260,28,68.4,37.7,0.7,27,56.2
209,Boston University,Boston. MA,1390,31,73.4,36,0.45,25.63,58.9
210,Drake University,Des Moines. IA,1230,27,56.4,30.2,0.95,26.44,51.6
211,Temple University,Philadelphia. PA, NA,NA,33.9,24.5,0.78,25.5,50.8
212,Stevens Institute of Technology,Hoboken. NJ,1400,31,70.2,41.1,0.92,27,73.6
213,Trinity Christian College,Palos Heights. IL,1130,23,44.1,23.7,0.84,25,46.5
213,Illinois Institute of Technology,Chicago. IL,1320,28,66.6,28.1,0.98,27,62.8
213,Western Washington University,Bellingham. WA,1180,25,24.6,17.2,0.47,19.33,53
216,Providence College,Providence. RI,1250,28,67.9,38.5,0.71,27,56.9
217,Rensselaer Polytechnic Institute,Troy. NY,1410,30,73.3,40.2,0.87,29,69.6
218,University of San Francisco,San Francisco. CA,1200,25,68.9,37.6,0.68,25,58.6
219,University of Portland,Portland. OR,1230,26,61.9,35.6,0.97,24.9,57.4
220,St. Mary's University,San Antonio. TX,1140,23,46.5,19,0.9,27,50.5
221,Milwaukee School of Engineering,Milwaukee. WI,1260,28,54.4,25.4,0.93,27,65
222,Duquesne University,Pittsburgh. PA,1200,27,54.4,32.6,0.93,27,51.8
223,La Salle University,Philadelphia. PA, NA,NA,47.5,28,0.89,27,53.7
224,SUNY Oneonta,Oneonta. NY,1120,23,25.2,16.7,0.56,21.5,45.2
225,College of Mount Saint Vincent,Bronx. NY,970,20,52.2,18.7,0.85,27,50.6
225,Augustana College,Rock Island. IL, NA,NA,55.8,25.5,0.98,27,46.6
225,University of Utah,Salt Lake City. UT,1230,26,24.7,13.2,0.56,15,53.4
228,Lewis University,Romeoville. IL,1090,24,47.5,21.3,0.81,23.94,49.1
229,Fresno Pacific University,Fresno. CA,1060,20,45,15.2,0.82,21.5,43.9
230,Stonehill College,Easton. MA, NA,NA,62.2,35.8,0.94,27,54
230,Saint Joseph's University,Philadelphia. PA,1200,26,63.6,37.7,0.91,23.49,55.3
230,Dickinson College,Carlisle. PA, NA,NA,72.1,34.7,0.72,21,54.2
233,Gonzaga University,Spokane. WA,1270,28,59.9,36.4,0.49,26.04,56.3
234,Mount Holyoke College,South Hadley. MA,1370,31,66.7,31.8,0.79,21.25,50.5
235,George Washington University,Washington. DC,1360,31,72.5,40.2,0.65,25,59
236,University of Houston,Houston. TX,1200,25,26.1,16.7,0.56,19.25,55
237,Rowan University,Glassboro. NJ,1160,25,32.4,20.5,0.42,19.67,50.1
238,Bryant University,Smithfield. RI, NA,NA,62.6,37,0.88,27,58.7
239,Albany College of Pharmacy and Health Sciences,Albany. NY,1190,26,50.2,32.4,0.96,27,80.2
240,Truman State University,Kirksville. MO,1300,27,22,13.4,0.77,22.4,46.5
241,Bradley University,Peoria. IL,1190,25,48.8,27.6,0.94,27,54.1
242,Linfield College-McMinnville CampusMc,Minnville. OR,1120,23,59.2,30.6,0.97,25,50.9
243,California State University-San Marcos,San Marcos. CA,1040,21,26.4,11.2,0.66,17.5,50.4
244,Pepperdine University,Malibu. CA,1300,29,74,38.8,0.76,25.84,56.4
244,University of Central Florida,Orlando. FL,1240,27,23.2,16.4,0.62,18.13,48.2
246,Saint Martin's University,Lacey. WA,1090,21,52.9,24.2,0.78,23.4,52.1
247,Arizona State University-Tempe,Tempe. AZ,1240,26,28.8,13.8,0.75,20,53.2
248,Kenyon College,Gambier. OH,1360,31,72.3,33.8,0.56,18.5,52.7
249,Saint Louis University,Saint Louis. MO,1280,28,59.8,33.9,0.56,25.75,53.1
250,The College of Saint Scholastica,Duluth. MN,1160,23,51.3,25.6,0.8,20.2,51
251,Occidental College,Los Angeles. CA,1360,30,74.9,36,0.68,23.22,54.1
252,University of Northern Iowa,Cedar Falls. IA,1220,24,22.3,17,0.57,20.35,46.3
253,North Dakota State University,Fargo. ND,1190,24,22.4,15.8,0.59,22.57,53.2
254,Lebanon Valley College,Annville. PA,1160,24,59.9,29.3,0.94,27,47.8
255,University of the Sciences,Philadelphia. PA,1210,27,62.8,35.7,0.98,27,55.9
256,SUNY College at Old Westbury,Old Westbury. NY,1030,21,24.4,11.5,0.6,17,48.1
257,SUNY College at Geneseo,Geneseo. NY,1210,27,26.2,18.1,0.56,21.68,49.8
257,Saint Peter's University,Jersey City. NJ,1020,20,56.4,14.3,0.89,23.8,51.8
259,Clark University,Worcester. MA, NA,NA,57.5,30.8,0.86,27,50.2
259,University of Redlands,Redlands. CA,1160,26,70,35.1,0.82,27,53.3
261,Ursinus College,Collegeville. PA,1210,27,69.2,34,0.99,27,52.1
262,College of Our Lady of the Elms,Chicopee. MA,1030,21,53.1,23,0.83,25,48.9
262,University of Wisconsin-Eau Claire,Eau Claire. WI, NA,24,21,15.4,0.47,22.8,51.1
264,John Carroll University,University Heights. OH,1070,25,58.3,28.3,0.94,27,49.8
265,University of Rhode Island,Kingston. RI,1140,25,30.8,20,0.71,23,53
266,University of Mary Washington,Fredericksburg. VA,1170,25,28.7,21.5,0.62,20.5,52.6
267,Goshen College,Goshen. IN,1110,24,48.6,20.8,0.93,20.2,44.1
267,Carleton College,Northfield. MN,1450,33,71.9,30,0.62,20,56.1
269,Centenary University,Hackettstown. NJ,1000,22,50.5,20.8,0.79,25,44.3
270,Appalachian State University,Boone. NC,1190,25,19.9,11.2,0.47,20.24,45.5
271,The University of Texas at Dallas,Richardson. TX,1330,29,28.6,10.7,0.65,18,55.5
271,University of Minnesota-Crookston,Crookston. MN,1050,22,24.9,14.9,0.41,20.47,50.1
273,Holy Family University,Philadelphia. PA,1010,NA,48.9,16.8,0.73,26.5,50.2
274,Hope College,Holland. MI,1210,27,47.4,29.7,0.87,27,47.6
274,University of St. Thomas - Minnesota,Saint Paul. MN,1210,27,57.1,33.6,0.93,25,55.6
276,University of Wisconsin-Platteville,Platteville. WI, NA,24,19.8,15.3,0.47,24.25,56
277,Saint Mary's College of California,Moraga. CA,1150,25,68.4,35.7,0.9,24.69,57.7
278,Colorado State University-Fort Collins,Fort Collins. CO,1200,25,27.1,18.4,0.52,20.5,52
278,University of La Verne,La Verne. CA,1110,22,62.5,29.6,0.74,25,48.3
280,SUNY College at Plattsburgh,Plattsburgh. NY,1120,23,25.7,14.2,0.73,21.5,44.9
281,Seattle University,Seattle. WA,1230,27,62.3,38,0.85,22.64,59.4
282,Rhodes College,Memphis. TN,1320,30,64.3,31.1,0.92,25.03,49.4
283,Sonoma State University,Rohnert Park. CA,1080,22,27.2,17.9,0.55,17.5,52.1
284,Muhlenberg College,Allentown. PA,1240,28,68.2,39.5,0.82,26.99,51.7
284,Messiah College,Mechanicsburg. PA,1210,26,50.1,29.7,0.95,25,50.1
284,Kalamazoo College,Kalamazoo. MI,1280,28,61.9,29.9,0.98,27,49.9
287,Madonna University,Livonia. MI,950,22,35.7,17.6,0.67,25,44.3
288,Houghton College,Houghton. NY,1190,26,46.4,20.7,0.98,23.65,42.6
289,Stockton University,Galloway. NJ,1110,22,31.6,15.3,0.64,20.88,46.1
290,St Catherine University,Saint Paul. MN,1180,23,53,21.9,0.82,26.94,48.7
291,Pennsylvania State University,University Park. PA,1250,28,38,27.1,0.63,26.12,57.3
292,Adelphi University,Garden City. NY,1150,25,58.9,29.8,0.85,25,53.4
293,Oklahoma State University,Stillwater. OK,1170,25,24.7,15.5,0.73,20.75,51.7
294,University of Pittsburgh-Pittsburgh Campus,Pittsburgh. PA,1330,30,34.7,24.4,0.54,26.9,54.6
295,SUNY College at Oswego,Oswego. NY,1150,25,25.2,17.4,0.77,21.5,44.9
296,University of Scranton,Scranton. PA,1180,26,63.8,38.8,0.86,27,54.4
297,Seton Hall University,South Orange. NJ,1210,26,59.6,30.6,0.88,25,56
298,Winona State University,Winona. MN,1190,23,22.7,17.8,0.54,23.21,48.9
298,University of St. Francis,Joliet. IL,1140,23,46.6,20,0.9,25,48.8
300,Ohio Northern University,Ada. OH,1220,25,48.2,25.5,0.9,27,53.5
301,Dominican University of California,San Rafael. CA,1130,23,67.3,37,0.92,27,55.7
302,Texas Tech University,Lubbock. TX,1160,25,24.7,16.9,0.54,22.1,55.7
303,Loyola University Maryland,Baltimore. MD, NA,NA,67.4,39.3,0.8,27,57.5
304,Oregon State University,Corvallis. OR,1190,25,27.4,20.5,0.52,23.39,54.8
304,Wittenberg University,Springfield. OH, NA,NA,54.4,26,0.95,27,49.8
306,William Paterson University of New Jersey,Wayne. NJ,1030,21,30,15.8,0.6,23.5,49.3
307,Framingham State University,Framingham. MA,1040,22,27.3,20.6,0.54,24.97,48.4
308,Scripps College,Claremont. CA,1380,31,74.2,39.3,0.58,13.75,53.7
308,Kansas State University,Manhattan. KS, NA,NA,25.4,18.6,0.61,22.5,51.6
310,Franciscan University of Steubenville,Steubenville. OH,1190,26,39.5,27.1,0.95,22.62,46.5
311,Augsburg University,Minneapolis. MN,1100,22,53.5,25.6,0.91,27,49.3
311,The Sage Colleges,Troy. NY, NA,NA,47.4,22,0.93,23.25,43.7
313,Martin Luther College,New Ulm. MN,1190,25,26.7,19.8,0.77,21.5,34.6
314,Cedarville University,Cedarville. OH,1240,26,40.9,25.1,0.87,21.46,51.7
315,John Brown University,Siloam Springs. AR,1200,27,40.6,23.8,0.74,20.5,46.1
316,Louisiana State University and Agricultural & Mechanical College,Baton Rouge. LA,1180,26,31,20.5,0.73,21,53.5
317,Monmouth University,West Long Branch. NJ,1080,23,57.3,33.4,0.95,26.6,50.8
318,Taylor University,Upland. IN,1170,26,47.3,27.5,0.84,23.5,46.8
319,Elon University,Elon. NC,1240,27,51.9,36,0.54,21.5,52.3
320,Case Western Reserve University,Cleveland. OH,1430,32,68.3,37.3,0.81,24.5,65.1
321,Assumption College,Worcester. MA, NA,NA,57,31,0.92,27,52.1
322,Knox College,Galesburg. IL, NA,NA,59.1,26.8,0.97,27,47.9
322,Loyola Marymount University,Los Angeles. CA,1270,29,67.6,45.3,0.78,22,56
324,Merrimack College,North Andover. MA, NA,NA,60.4,35.4,0.92,27,54.7
325,Wheaton College - Massachusetts,Norton. MA,1250,28,68.7,34,0.95,26.6,51.3
326,William Carey University,Hattiesburg. MS,1080,25,29.2,17.4,0.64,20.83,41.8
326,Loras College,Dubuque. IA,1100,23,45.8,20.9,0.98,27,46.4
328,Concordia College at Moorhead,Moorhead. MN,1180,25,51.7,25.9,0.96,27,46.1
329,Presbyterian College,Clinton. SC,1140,24,54.2,21.9,0.89,26,46.8
330,Hamline University,Saint Paul. MN,1140,23,54.5,23.6,0.95,24.4,46.8
331,University of Wyoming,Laramie. WY,1170,25,20.7,14.3,0.72,18.08,51.7
332,Saint Vincent College,Latrobe. PA,1120,23,51.1,22.5,0.9,27,48.5
333,University of Wisconsin-Stevens Point,Stevens Point. WI, NA,23,19.8,13.8,0.54,24.44,44.4
334,Illinois Wesleyan University,Bloomington. IL,1300,27,61.4,32.2,0.99,27,51.1
335,University of North Dakota,Grand Forks. ND,1160,24,22.4,15.5,0.52,24.49,52.6
336,Rose-Hulman Institute of Technology,Terre Haute. IN,1360,30,67.9,44.3,0.98,27,73.4
337,Wagner College,Staten Island. NY, NA,NA,65,32.2,0.98,25,56.4
338,Wofford College,Spartanburg. SC,1220,30,60.3,28.9,0.91,26,49.3
339,Central Washington University,Ellensburg. WA,1010,21,23.6,15.1,0.63,20,51.3
340,Niagara University,Niagara University. NY,1110,24,49.5,20,0.92,25.75,42.7
341,Miami University-Oxford,Oxford. OH,1290,29,33.2,21.7,0.61,23.95,55.4
342,Kean University,Union. NJ,980,19,30.6,18,0.51,24,47.1
343,SUNY at Fredonia,Fredonia. NY,1090,24,24.6,16.8,0.72,25,42.5
344,University of Massachusetts-Lowell,Lowell. MA,1220,27,31.2,19.6,0.56,24.6,57.4
345,Colorado College,Colorado Springs. CO, NA,NA,71.7,30.2,0.55,20.5,51.1
346,Canisius College,Buffalo. NY,1150,25,54.5,22,0.94,25,46.5
347,University of Idaho,Moscow. ID,1120,23,22.2,16,0.73,24.5,51.3
348,University of Minnesota-Duluth,Duluth. MN,1170,24,25.5,17.5,0.6,24.25,51.6
349,Waynesburg University,Waynesburg. PA,1070,21,37.6,20.7,0.94,27,44.6
350,University of Wisconsin-Stout,Menomonie. WI, NA,22,20.6,16,0.48,25,49.7
351,Saint Michael's College,Colchester. VT, NA,NA,60.1,34.2,0.98,27.38,51.2
352,Touro College,New York. NY, NA,NA,36.7,23.8,0.71,14.5,57.7
352,University of Colorado Boulder,Boulder. CO,1250,28,31.5,21.7,0.47,19.5,55.6
354,University of San Diego,San Diego. CA,1270,28,68.3,41.2,0.7,24,56.6
354,Regis University,Denver. CO,1170,23,53.5,27.3,0.59,22.92,55.7
356,MCPHS University,Boston. MA,1160,25,55.7,41.3,0.84,27,63.7
357,Southern Methodist University,Dallas. TX,1360,30,75.6,38.9,0.68,20.06,57.2
358,Gannon University,Erie. PA,1110,23,48.6,23.3,0.81,27,49.9
359,Auburn University,Auburn. AL,1220,27,32.7,24.1,0.53,21.5,52.8
360,Neumann University,Aston. PA,990,18,48.1,24.8,0.79,27,49.9
361,University of Oregon,Eugene. OR,1180,25,28.1,16.1,0.57,20.5,50.3
362,Elmhurst College,Elmhurst. IL,1100,23,52.2,24.2,0.98,21.5,49.1
363,University of North Carolina School of the Arts,Winston-Salem. NC,1190,25,22.9,14.5,0.69,27,45.4
364,Gwynedd Mercy University,Gwynedd Valley. PA,1020,20,50.4,25.5,0.73,25,51.5
365,Louisiana Tech University,Ruston. LA,990,25,21.3,11.4,0.89,19.68,52.1
366,University of Maryland-Baltimore County,Baltimore. MD,1250,27,28.8,17.1,0.49,20.91,56.8
367,Ithaca College,Ithaca. NY, NA,NA,64.1,37.1,0.91,25.45,50.6
368,Bridgewater State University,Bridgewater. MA,1070,21,27.4,17.8,0.54,24,46.9
369,Rochester Institute of Technology,Rochester. NY,1290,29,57.1,33.5,0.86,28,60.4
370,Bryn Mawr College,Bryn Mawr. PA,1410,31,71.5,30.4,0.71,25,52.9
371,Macalester College,Saint Paul. MN,1390,31,69.2,32.7,0.8,21.5,51.3
372,Texas Christian University,Fort Worth. TX,1230,28,65.8,37.7,0.68,20.47,54.7
373,University of Wisconsin-Whitewater,Whitewater. WI, NA,22,18.6,13.3,0.43,24.59,48
374,Salem State University,Salem. MA,1070,22,27.4,18.1,0.54,24.25,47
374,Sam Houston State University,Huntsville. TX,1070,21,22.8,12.5,0.69,21.25,48.3
376,Fordham University,Bronx. NY,1320,29,75.5,41.1,0.81,26,56.4
377,Clarke University,Dubuque. IA,1060,23,47.9,28.7,0.95,26.17,44.6
